EZID	GENE	GeneType	CHR	FROM	TO
110121214	LOC110121214	pseudo	1	44500382	44503336
109851610	LOC109851610	pseudo	1	25348629	25350191
106783575	LOC106783575	pseudo	1	9687555	9688019
106783502	LOC106783502	pseudo	1	145474519	145474637
106783496	LOC106783496	pseudo	1	1004591	1004705
148696	LOC148696	pseudo	1	207991723	207995940
115804256	LOC115804256	pseudo	1	249183617	249184073
115804255	LOC115804255	pseudo	1	249179182	249179394
115804254	LOC115804254	pseudo	1	248018401	248018965
115804253	LOC115804253	pseudo	1	241970222	241970577
115804252	LOC115804252	pseudo	1	231201340	231201810
115804251	LOC115804251	pseudo	1	231189523	231189621
115804250	LOC115804250	pseudo	1	231185110	231185389
115804249	LOC115804249	pseudo	1	231182600	231182888
115804248	LOC115804248	pseudo	1	226115937	226116589
115804247	LOC115804247	pseudo	1	225632511	225633050
115804246	LOC115804246	pseudo	1	213218548	213219506
115804245	LOC115804245	pseudo	1	212604336	212604623
115804244	LOC115804244	pseudo	1	207919745	207920040
115804243	LOC115804243	pseudo	1	203280812	203281407
115804242	LOC115804242	pseudo	1	202974830	202975179
115804240	LOC115804240	pseudo	1	202087909	202088476
115804239	LOC115804239	pseudo	1	202045110	202045549
115804238	LOC115804238	pseudo	1	201535976	201536762
115804237	LOC115804237	pseudo	1	198602815	198603230
115804236	LOC115804236	pseudo	1	182308165	182308457
115804235	LOC115804235	pseudo	1	182307086	182307633
115804234	LOC115804234	pseudo	1	181110562	181111111
115804233	LOC115804233	pseudo	1	180579547	180580033
115801456	LOC115801456	pseudo	1	178986084	178986595
115801455	LOC115801455	pseudo	1	173640034	173640617
115801454	LOC115801454	pseudo	1	168188047	168188214
115801453	LOC115801453	pseudo	1	161472795	161473116
115801452	LOC115801452	pseudo	1	159760080	159760457
115801451	LOC115801451	pseudo	1	158661720	158662049
115801450	LOC115801450	pseudo	1	158658925	158659222
115801449	LOC115801449	pseudo	1	157244475	157244973
115801448	LOC115801448	pseudo	1	156368254	156368548
115801447	LOC115801447	pseudo	1	153504704	153505031
115801446	LOC115801446	pseudo	1	153407358	153407887
115801445	LOC115801445	pseudo	1	151568717	151569467
115801444	LOC115801444	pseudo	1	150949320	150950233
115801443	LOC115801443	pseudo	1	150517876	150518595
115801441	LOC115801441	pseudo	1	117229783	117230654
115801440	LOC115801440	pseudo	1	117045781	117045833
115801439	LOC115801439	pseudo	1	113683147	113684047
115801438	LOC115801438	pseudo	1	110431758	110432182
115801437	LOC115801437	pseudo	1	109076246	109076821
115801436	LOC115801436	pseudo	1	95581135	95581662
115801435	LOC115801435	pseudo	1	95579294	95579523
115801434	LOC115801434	pseudo	1	95576608	95576884
115801433	LOC115801433	pseudo	1	95552577	95553041
115801432	LOC115801432	pseudo	1	95550751	95551399
115801431	LOC115801431	pseudo	1	95549964	95550684
115801430	LOC115801430	pseudo	1	71140580	71141996
115801429	LOC115801429	pseudo	1	68148292	68148784
115801428	LOC115801428	pseudo	1	51444434	51444943
115801427	LOC115801427	pseudo	1	47001713	47001809
115801426	LOC115801426	pseudo	1	46987847	46988919
115801425	LOC115801425	pseudo	1	38993065	38993268
115801424	LOC115801424	pseudo	1	37209433	37209565
115801423	LOC115801423	pseudo	1	31252306	31252830
115801422	LOC115801422	pseudo	1	31250327	31250992
115801421	LOC115801421	pseudo	1	29211073	29211977
115801420	LOC115801420	pseudo	1	28193623	28194144
115801419	LOC115801419	pseudo	1	26835066	26835286
115801418	LOC115801418	pseudo	1	26704528	26705421
115801417	LOC115801417	pseudo	1	26259846	26260503
115801416	LOC115801416	pseudo	1	12098305	12099427
115801415	LOC115801415	pseudo	1	1070229	1071313
647132	LOC647132	pseudo	1	189958665	189962332
107988049	LOC107988049	pseudo	1	27049590	27050904
101926964	LOC101926964	pseudo	1	61125302	61291255
644462	LOC644462	pseudo	1	48901373	48903567
111591499	LOC111591499	pseudo	1	12493542	12493686
111562380	LOC111562380	pseudo	1	16219792	16219936
111556158	LOC111556158	pseudo	1	101048628	101048772
111556138	LOC111556138	pseudo	1	176849116	176849260
111556116	LOC111556116	pseudo	1	192670220	192670364
111556113	LOC111556113	pseudo	1	146709817	146709961
111501793	LOC111501793	pseudo	1	21348892	21349036
111501769	LOC111501769	pseudo	1	61607258	61607402
111501763	LOC111501763	pseudo	1	183971421	183971565
111464991	LOC111464991	pseudo	1	41286641	41286827
111464988	LOC111464988	pseudo	1	167517741	167517885
111429629	LOC111429629	pseudo	1	47646919	47647063
111429612	LOC111429612	pseudo	1	204062514	204062658
111429604	LOC111429604	pseudo	1	221888932	221889076
111429603	LOC111429603	pseudo	1	202056189	202056333
111413047	LOC111413047	pseudo	1	114456947	114457091
111365211	LOC111365211	pseudo	1	117017881	117018025
111365208	LOC111365208	pseudo	1	235012194	235012338
111365207	LOC111365207	pseudo	1	204235741	204235885
111365197	LOC111365197	pseudo	1	234719543	234719687
111365143	LOC111365143	pseudo	1	182260860	182261359
108318669	LOC108318669	pseudo	1	183580891	183581398
108281190	LOC108281190	pseudo	1	163055071	163055764
108281189	LOC108281189	pseudo	1	8233115	8233645
100996583	LOC100996583	pseudo	1	2497973	2515972
100996740	LOC100996740	pseudo	1	143743412	143745142
108004528	LOC108004528	pseudo	1	236802830	236803387
107992392	LOC107992392	pseudo	1	50576634	50576814
107988045	LOC107988045	pseudo	1	200041643	200042216
111721704	LOC111721704	pseudo	1	201345337	201345833
111721703	LOC111721703	pseudo	1	119448953	119449358
101928596	LOC101928596	pseudo	1	169073361	169074144
110121306	LOC110121306	pseudo	1	214280594	214282079
110121256	LOC110121256	pseudo	1	38728184	38732515
110121088	LOC110121088	pseudo	1	33828788	33830946
102724562	LOC102724562	pseudo	1	17083555	17086551
729867	LOC729867	pseudo	1	160171988	160178658
728989	LOC728989	pseudo	1	146490894	146514598
100129274	LOC100129274	pseudo	1	187683329	187684452
105378586	LOC105378586	pseudo	1	1534812	1542589
105371458	LOC105371458	pseudo	1	157895756	157918860
101927468	LOC101927468	pseudo	1	147680369	147719341
101928120	LOC101928120	pseudo	1	154933946	154935100
108281163	LOC108281163	pseudo	1	198650798	198651642
108281140	LOC108281140	pseudo	1	3420532	3421232
108254679	LOC108254679	pseudo	1	145455121	145455790
108254671	LOC108254671	pseudo	1	152022021	152022636
108254669	LOC108254669	pseudo	1	32421426	32422095
108251792	LOC108251792	pseudo	1	164717497	164718016
728417	LOC728417	pseudo	1	222645115	222651041
101056699	LOC101056699	pseudo	1	16879956	16880027
100189425	TRK-TTT3-2	pseudo	1	204476157	204476229
100189412	TRD-GTC2-1	pseudo	1	161410614	161410685
100189409	TRE-CTC2-1	pseudo	1	249168446	249168517
100189407	TRE-TTC4-2	pseudo	1	161391882	161391953
100189402	TRN-GTT2-2	pseudo	1	161397866	161397939
100189394	TRL-CAG1-1	pseudo	1	161411322	161411404
100189385	TRE-CTC1-3	pseudo	1	161424397	161424468
100189384	TRE-CTC1-1	pseudo	1	145399232	145399303
100189380	TRG-GCC2-1	pseudo	1	161493636	161493706
100189378	TRT-TGT2-1	pseudo	1	222638346	222638418
100189373	TRV-CAC1-1	pseudo	1	161369489	161369561
100189366	TRG-GCC1-1	pseudo	1	161413093	161413163
100189364	TRL-CAG1-4	pseudo	1	161433531	161433613
100189334	TRH-GTG1-2	pseudo	1	146544772	146544843
100189316	TRL-CAG1-3	pseudo	1	161426121	161426203
100189307	TRH-GTG1-3	pseudo	1	147753470	147753541
100189298	TRG-CCC1-2	pseudo	1	17188415	17188485
100189290	TRD-GTC2-3	pseudo	1	161425413	161425484
100189274	TRG-GCC4-1	pseudo	1	161450355	161450425
100189261	TRQ-CTG4-2	pseudo	1	149186124	149186195
100189260	TRG-TCC2-2	pseudo	1	161417374	161417445
100189259	TRE-CTC1-4	pseudo	1	161431808	161431879
100189252	TRG-GCC1-2	pseudo	1	161420466	161420536
100189235	TRD-GTC2-2	pseudo	1	161418032	161418103
100189230	TRG-GCC1-3	pseudo	1	161427897	161427967
100189228	TRV-CAC1-7	pseudo	1	149684087	149684160
100189211	TRP-CGG1-1	pseudo	1	167683961	167684032
100189198	TRK-CTT2-1	pseudo	1	145395521	145395593
100189188	TRG-TCC2-4	pseudo	1	161432165	161432236
100189183	TRN-GTT13-1	pseudo	1	17201957	17202030
100189174	TRH-GTG1-4	pseudo	1	147774844	147774915
100189166	TRR-TCT4-1	pseudo	1	159111400	159111473
100189160	TRG-GCC1-4	pseudo	1	161435257	161435327
100189141	TRG-TCC2-3	pseudo	1	161424755	161424826
100189139	TRL-CAG1-5	pseudo	1	161440912	161440994
100189134	TRD-GTC2-4	pseudo	1	161432823	161432894
100189126	TRN-GTT1-1	pseudo	1	161510030	161510103
100189122	TRK-TTT3-1	pseudo	1	204475654	204475726
100189120	TRD-GTC2-5	pseudo	1	161440204	161440275
100189098	TRK-TTT8-1	pseudo	1	205443270	205443342
100189091	TRE-CTC1-2	pseudo	1	161417017	161417088
100189064	TRG-TCC2-1	pseudo	1	145397863	145397934
100189056	TRQ-CTG4-1	pseudo	1	147737381	147737452
100189045	TRG-CCC5-1	pseudo	1	17053779	17053849
100189039	TRG-TCC2-5	pseudo	1	161439546	161439617
100189019	TRP-AGG2-1	pseudo	1	167684724	167684795
100189018	TRL-CAG1-6	pseudo	1	161500131	161500213
100189017	TRE-CTC1-5	pseudo	1	161439188	161439259
100189015	TRX-CAT1-1	pseudo	1	153643725	153643796
100189011	TRG-TCC2-6	pseudo	1	161500902	161500973
100189009	TRL-CAG1-2	pseudo	1	161418740	161418822
100189003	TRL-CAA6-1	pseudo	1	161581735	161581818
100188998	TRQ-CTG7-1	pseudo	1	147800936	147801007
100188997	TRG-TCC4-1	pseudo	1	161409960	161410031
100188991	TRH-GTG1-1	pseudo	1	145396880	145396951
114827846	LOC114827846	pseudo	1	53586277	53591054
114827844	LOC114827844	pseudo	1	201958826	201961257
114827827	LOC114827827	pseudo	1	11906875	11908665
110121307	LOC110121307	pseudo	1	225954389	225955884
110121289	LOC110121289	pseudo	1	26419852	26424742
110121285	LOC110121285	pseudo	1	109816873	109818904
110121283	LOC110121283	pseudo	1	109795695	109798849
110121266	LOC110121266	pseudo	1	237174517	237176844
110121265	LOC110121265	pseudo	1	237160611	237163516
110121264	LOC110121264	pseudo	1	236851382	236853714
110121263	LOC110121263	pseudo	1	230886438	230890073
110121262	LOC110121262	pseudo	1	156072302	156076848
110121261	LOC110121261	pseudo	1	147220709	147225900
110121260	LOC110121260	pseudo	1	11945527	11949489
110121258	LOC110121258	pseudo	1	10795105	10799240
110121257	LOC110121257	pseudo	1	212704745	212707292
110121251	LOC110121251	pseudo	1	246469250	246471349
110121238	LOC110121238	pseudo	1	79541346	79549133
110121223	LOC110121223	pseudo	1	3262092	3266364
110121221	LOC110121221	pseudo	1	156630248	156635283
110121215	LOC110121215	pseudo	1	181121048	181123653
110121213	LOC110121213	pseudo	1	8130438	8131886
110121205	LOC110121205	pseudo	1	230984522	230987980
110121184	LOC110121184	pseudo	1	113540055	113542019
110121161	LOC110121161	pseudo	1	56240103	56242434
110121160	LOC110121160	pseudo	1	9431126	9432833
110121139	LOC110121139	pseudo	1	38835995	38838105
110121126	LOC110121126	pseudo	1	54925045	54928825
110121125	LOC110121125	pseudo	1	59522324	59524091
110121124	LOC110121124	pseudo	1	62045459	62048158
110121108	LOC110121108	pseudo	1	62053432	62055907
110121105	LOC110121105	pseudo	1	169910395	169913078
110121098	LOC110121098	pseudo	1	119028025	119029954
110121081	LOC110121081	pseudo	1	204423957	204424934
110121063	LOC110121063	pseudo	1	167296953	167299045
110121057	LOC110121057	pseudo	1	213498111	213501133
110121056	LOC110121056	pseudo	1	198263561	198265741
110121050	LOC110121050	pseudo	1	61917794	61920189
110121042	LOC110121042	pseudo	1	218207431	218208497
110121037	LOC110121037	pseudo	1	164620037	164621163
110121031	LOC110121031	pseudo	1	88065040	88066529
110121025	LOC110121025	pseudo	1	164604140	164605473
110121023	LOC110121023	pseudo	1	88535718	88538389
110121021	LOC110121021	pseudo	1	164805506	164806793
110121019	LOC110121019	pseudo	1	163507964	163509138
110121010	LOC110121010	pseudo	1	88025862	88027202
110121004	LOC110121004	pseudo	1	164668591	164669822
110121002	LOC110121002	pseudo	1	39248756	39250128
110120990	LOC110120990	pseudo	1	88686075	88687739
110120969	LOC110120969	pseudo	1	39192608	39194133
110120959	LOC110120959	pseudo	1	88108083	88109395
110120958	LOC110120958	pseudo	1	38712074	38713516
110120807	LOC110120807	pseudo	1	209989049	209989823
110120795	LOC110120795	pseudo	1	88615686	88616926
110120776	LOC110120776	pseudo	1	87795191	87796736
110120763	LOC110120763	pseudo	1	63665218	63666121
110120762	LOC110120762	pseudo	1	163441940	163442841
110120751	LOC110120751	pseudo	1	3190580	3191427
110120739	LOC110120739	pseudo	1	97610490	97611740
110120729	LOC110120729	pseudo	1	32510029	32510912
110120716	LOC110120716	pseudo	1	91305561	91307214
110120698	LOC110120698	pseudo	1	243876466	243877892
110120683	LOC110120683	pseudo	1	83345365	83346270
110120672	LOC110120672	pseudo	1	10851569	10852172
110120666	LOC110120666	pseudo	1	10781238	10781743
110120664	LOC110120664	pseudo	1	88926795	88928507
110120659	LOC110120659	pseudo	1	63369348	63370893
110120648	LOC110120648	pseudo	1	10732069	10733117
110120644	LOC110120644	pseudo	1	44989823	44991148
110120642	LOC110120642	pseudo	1	44715419	44716128
110120623	LOC110120623	pseudo	1	10965128	10966143
110120621	LOC110120621	pseudo	1	38560193	38561605
110120610	LOC110120610	pseudo	1	213597963	213599523
110120609	LOC110120609	pseudo	1	51165194	51166785
110120607	LOC110120607	pseudo	1	51034545	51036288
110120602	LOC110120602	pseudo	1	87821620	87823081
110120600	LOC110120600	pseudo	1	63464281	63465716
110120599	LOC110120599	pseudo	1	63443533	63444883
101928728	LOC101928728	pseudo	1	27018400	27020621
100129492	LOC100129492	pseudo	1	44587725	44588266
113939989	LOC113939989	pseudo	1	90088488	90088782
113939988	LOC113939988	pseudo	1	29639648	29639942
113939987	LOC113939987	pseudo	1	229566508	229566802
113939986	LOC113939986	pseudo	1	22937948	22938242
113939984	LOC113939984	pseudo	1	210845028	210845322
113939983	LOC113939983	pseudo	1	210111008	210111302
113939981	LOC113939981	pseudo	1	185886788	185887082
113939980	LOC113939980	pseudo	1	166919428	166919722
113939978	LOC113939978	pseudo	1	119471588	119471882
113939977	LOC113939977	pseudo	1	113570208	113570502
112590828	LOC112590828	pseudo	1	94445508	94445802
112590827	LOC112590827	pseudo	1	93544588	93544882
112590826	LOC112590826	pseudo	1	92198088	92198382
112590825	LOC112590825	pseudo	1	9653968	9654262
112590824	LOC112590824	pseudo	1	89112988	89113282
112590823	LOC112590823	pseudo	1	8877648	8877942
112590822	LOC112590822	pseudo	1	8272028	8272322
112590821	LOC112590821	pseudo	1	8225768	8226062
112590820	LOC112590820	pseudo	1	75557728	75558022
112590819	LOC112590819	pseudo	1	70622288	70622582
112590818	LOC112590818	pseudo	1	65878228	65878522
112590817	LOC112590817	pseudo	1	65399988	65400282
112590816	LOC112590816	pseudo	1	65381588	65381882
112590815	LOC112590815	pseudo	1	64472388	64472682
112590814	LOC112590814	pseudo	1	60196588	60196882
112590813	LOC112590813	pseudo	1	6187768	6188062
112590812	LOC112590812	pseudo	1	59348768	59349062
112590810	LOC112590810	pseudo	1	56927068	56927362
112590809	LOC112590809	pseudo	1	56914608	56914902
112590808	LOC112590808	pseudo	1	54518908	54519202
112590807	LOC112590807	pseudo	1	54422908	54423202
112590806	LOC112590806	pseudo	1	54355408	54355702
112590805	LOC112590805	pseudo	1	53859048	53859342
112590804	LOC112590804	pseudo	1	53117668	53117962
112590803	LOC112590803	pseudo	1	52472908	52473202
112590802	LOC112590802	pseudo	1	52344388	52344682
112590801	LOC112590801	pseudo	1	51339328	51339622
112590800	LOC112590800	pseudo	1	45956828	45957122
112590799	LOC112590799	pseudo	1	45600108	45600402
112590795	LOC112590795	pseudo	1	44763768	44764062
112590794	LOC112590794	pseudo	1	44678948	44679242
112590793	LOC112590793	pseudo	1	44460508	44460802
112590792	LOC112590792	pseudo	1	44395268	44395562
112590791	LOC112590791	pseudo	1	43941788	43942082
112590790	LOC112590790	pseudo	1	41796928	41797222
112577599	LOC112577599	pseudo	1	40997108	40997402
112577598	LOC112577598	pseudo	1	40364688	40364982
112577597	LOC112577597	pseudo	1	40123748	40124042
112577596	LOC112577596	pseudo	1	39325368	39325662
112577595	LOC112577595	pseudo	1	38968508	38968802
112577594	LOC112577594	pseudo	1	38955508	38955802
112577591	LOC112577591	pseudo	1	38497128	38497422
112577590	LOC112577590	pseudo	1	38022328	38022622
112577589	LOC112577589	pseudo	1	37945288	37945582
112577588	LOC112577588	pseudo	1	36911968	36912262
112577587	LOC112577587	pseudo	1	36839408	36839702
112577586	LOC112577586	pseudo	1	36735008	36735302
112577585	LOC112577585	pseudo	1	36181108	36181402
112577584	LOC112577584	pseudo	1	33190828	33191122
112577583	LOC112577583	pseudo	1	32528068	32528362
112577582	LOC112577582	pseudo	1	32180768	32181062
112577581	LOC112577581	pseudo	1	3712948	3713242
112577579	LOC112577579	pseudo	1	3229748	3230042
112577578	LOC112577578	pseudo	1	3157508	3157802
112577577	LOC112577577	pseudo	1	29101668	29101962
112577576	LOC112577576	pseudo	1	28879308	28879602
112577575	LOC112577575	pseudo	1	28696028	28696322
112577574	LOC112577574	pseudo	1	27449148	27449442
112577573	LOC112577573	pseudo	1	27324168	27324462
112577572	LOC112577572	pseudo	1	27317168	27317462
112577571	LOC112577571	pseudo	1	26221908	26222202
112577570	LOC112577570	pseudo	1	25046608	25046902
112577569	LOC112577569	pseudo	1	247495048	247495342
112577568	LOC112577568	pseudo	1	247267608	247267902
112577567	LOC112577567	pseudo	1	247142148	247142442
112577566	LOC112577566	pseudo	1	244102548	244102842
112577565	LOC112577565	pseudo	1	241355208	241355502
112577564	LOC112577564	pseudo	1	24867548	24867842
112577563	LOC112577563	pseudo	1	24691708	24692002
112577561	LOC112577561	pseudo	1	236666468	236666762
112577560	LOC112577560	pseudo	1	236260528	236260822
112577559	LOC112577559	pseudo	1	235183888	235184182
112577558	LOC112577558	pseudo	1	235147648	235147942
112577557	LOC112577557	pseudo	1	235122708	235123002
112577556	LOC112577556	pseudo	1	234835988	234836282
112577555	LOC112577555	pseudo	1	234778868	234779162
112577554	LOC112577554	pseudo	1	230468508	230468802
112577552	LOC112577552	pseudo	1	230262748	230263042
112577550	LOC112577550	pseudo	1	23871228	23871522
112577548	LOC112577548	pseudo	1	228688668	228688962
112577547	LOC112577547	pseudo	1	228678208	228678502
112577546	LOC112577546	pseudo	1	228528768	228529062
112577545	LOC112577545	pseudo	1	227015788	227016082
112577544	LOC112577544	pseudo	1	224521748	224522042
112577543	LOC112577543	pseudo	1	224348048	224348342
112577542	LOC112577542	pseudo	1	213141168	213141462
112577538	LOC112577538	pseudo	1	212769688	212769982
112577537	LOC112577537	pseudo	1	211898128	211898422
112577536	LOC112577536	pseudo	1	211789908	211790202
112577535	LOC112577535	pseudo	1	210567048	210567342
112577534	LOC112577534	pseudo	1	208393008	208393302
112577533	LOC112577533	pseudo	1	207921468	207921762
112577532	LOC112577532	pseudo	1	205819188	205819482
112577531	LOC112577531	pseudo	1	203830508	203830802
112577530	LOC112577530	pseudo	1	201857868	201858162
112577529	LOC112577529	pseudo	1	201823608	201823902
112577528	LOC112577528	pseudo	1	201798068	201798362
112577527	LOC112577527	pseudo	1	200997688	200997982
112577526	LOC112577526	pseudo	1	200988568	200988862
112577525	LOC112577525	pseudo	1	2322988	2323282
112577524	LOC112577524	pseudo	1	2187228	2187522
112577523	LOC112577523	pseudo	1	188751368	188751662
112577522	LOC112577522	pseudo	1	184020648	184020942
112577521	LOC112577521	pseudo	1	183573368	183573662
112577520	LOC112577520	pseudo	1	182931708	182932002
112577519	LOC112577519	pseudo	1	181824588	181824882
112577517	LOC112577517	pseudo	1	179851688	179851982
112577515	LOC112577515	pseudo	1	174658728	174659022
112577514	LOC112577514	pseudo	1	172468768	172469062
112577513	LOC112577513	pseudo	1	171750488	171750782
112577512	LOC112577512	pseudo	1	169545568	169545862
112577511	LOC112577511	pseudo	1	169082868	169083162
112577510	LOC112577510	pseudo	1	168290228	168290522
112577509	LOC112577509	pseudo	1	164581068	164581362
112577508	LOC112577508	pseudo	1	162114748	162115042
112577507	LOC112577507	pseudo	1	160509988	160510282
112577506	LOC112577506	pseudo	1	160078748	160079042
112577505	LOC112577505	pseudo	1	16488928	16489222
112577504	LOC112577504	pseudo	1	16126728	16127022
112577503	LOC112577503	pseudo	1	157989348	157989642
112577495	LOC112577495	pseudo	1	154832708	154833002
112577494	LOC112577494	pseudo	1	151284028	151284322
112577493	LOC112577493	pseudo	1	151238008	151238302
112577492	LOC112577492	pseudo	1	150551988	150552282
112577491	LOC112577491	pseudo	1	15279268	15279562
112577490	LOC112577490	pseudo	1	147736988	147737282
112577488	LOC112577488	pseudo	1	12633908	12634202
112577487	LOC112577487	pseudo	1	12601588	12601882
112577486	LOC112577486	pseudo	1	12004368	12004662
112577485	LOC112577485	pseudo	1	118472168	118472462
112577484	LOC112577484	pseudo	1	117524908	117525202
112577481	LOC112577481	pseudo	1	116961068	116961362
112577480	LOC112577480	pseudo	1	116138488	116138782
112577479	LOC112577479	pseudo	1	115000928	115001222
112577478	LOC112577478	pseudo	1	113446688	113446982
112577477	LOC112577477	pseudo	1	113241608	113241902
112577476	LOC112577476	pseudo	1	112162148	112162442
112577475	LOC112577475	pseudo	1	110883908	110884202
112577473	LOC112577473	pseudo	1	110314728	110315022
112577472	LOC112577472	pseudo	1	11986408	11986702
112577471	LOC112577471	pseudo	1	109820088	109820382
112577470	LOC112577470	pseudo	1	108742888	108743182
112577469	LOC112577469	pseudo	1	1047888	1048182
111828505	LOC111828505	pseudo	1	36713928	36714282
111828504	LOC111828504	pseudo	1	244504988	244505282
111828503	LOC111828503	pseudo	1	19267768	19268082
111828496	LOC111828496	pseudo	1	156261188	156261522
111776218	LOC111776218	pseudo	1	120491288	120491582
101928977	LOC101928977	pseudo	1	116465193	116519896
101928034	LOC101928034	pseudo	1	153518217	153524244
101928163	LOC101928163	pseudo	1	23848421	23854910
101928068	LOC101928068	pseudo	1	245128505	245134170
101927560	LOC101927560	pseudo	1	84267198	84326228
100506730	LOC100506730	pseudo	1	19619740	19622229
100505918	LOC100505918	pseudo	1	168369425	168391893
100133029	LOC100133029	pseudo	1	68508985	68509955
646471	LOC646471	pseudo	1	26146444	26150096
643441	LOC643441	pseudo	1	113739402	113748874
284581	LOC284581	pseudo	1	205831206	205865214
105376805	LOC105376805	pseudo	1	17215032	17216160
101928718	LOC101928718	pseudo	1	112287938	112298130
101928372	LOC101928372	pseudo	1	160902254	160919711
101928009	LOC101928009	pseudo	1	153146993	153164151
101927787	LOC101927787	pseudo	1	234782034	234796669
101927604	LOC101927604	pseudo	1	231010591	231014760
100507634	LOC100507634	pseudo	1	55681080	55683127
100422526	LOC100422526	pseudo	1	161860729	161861466
100422212	LOC100422212	pseudo	1	163390859	163392980
100288175	LOC100288175	pseudo	1	995113	1001832
100129534	LOC100129534	pseudo	1	2281852	2284099
100129138	LOC100129138	pseudo	1	104615644	104619707
643454	LOC643454	pseudo	1	214655561	214656821
440700	LOC440700	pseudo	1	165667986	165679204
339539	LOC339539	pseudo	1	43323292	43354462
117779438	LOC117779438	pseudo	1	20480706	20487060
112268219	LOC112268219	pseudo	1	2121236	2123896
112267871	LOC112267871	pseudo	1	17198720	17200590
107985728	LOC107985728	pseudo	1	855622	860983
107985355	LOC107985355	pseudo	1	228154711	228155620
107985184	LOC107985184	pseudo	1	112160232	112163019
105378933	LOC105378933	pseudo	1	119542966	119544027
105378663	LOC105378663	pseudo	1	39339072	39341897
105373289	LOC105373289	pseudo	1	227974512	227979887
101929935	LOC101929935	pseudo	1	57093463	57110990
101929626	LOC101929626	pseudo	1	46599042	46604752
101929536	LOC101929536	pseudo	1	40254647	40255842
101928565	LOC101928565	pseudo	1	168433351	168464881
101928177	LOC101928177	pseudo	1	156584533	156591719
101927434	LOC101927434	pseudo	1	81979564	82023386
101927164	LOC101927164	pseudo	1	224407314	224415744
101927143	LOC101927143	pseudo	1	224396448	224400980
101926944	LOC101926944	pseudo	1	60238466	60254503
101060164	LOC101060164	pseudo	1	96856206	96856944
100996318	LOC100996318	pseudo	1	120925023	120932999
100996284	LOC100996284	pseudo	1	157894852	157895139
100967224	LOC100967224	pseudo	1	187601283	187604162
100887078	LOC100887078	pseudo	1	246798763	246799804
100652967	LOC100652967	pseudo	1	53390921	53391103
100652908	LOC100652908	pseudo	1	209346289	209346916
100533732	LOC100533732	pseudo	1	188639832	188640889
100526839	LOC100526839	pseudo	1	183556742	183557458
100507586	LOC100507586	pseudo	1	54555465	54555894
100506672	LOC100506672	pseudo	1	202736230	202736659
100505788	LOC100505788	pseudo	1	90126611	90127091
100499497	LOC100499497	pseudo	1	106432156	106434097
100499223	LOC100499223	pseudo	1	179189614	179191368
100422694	LOC100422694	pseudo	1	66041636	66044181
100422549	LOC100422549	pseudo	1	171724942	171725562
100422548	LOC100422548	pseudo	1	171720575	171721167
100422537	LOC100422537	pseudo	1	78557089	78557878
100422434	LOC100422434	pseudo	1	207883726	207886212
100422414	LOC100422414	pseudo	1	185250423	185251244
100422413	LOC100422413	pseudo	1	51837873	51839071
100422287	LOC100422287	pseudo	1	33977490	33978383
100422213	LOC100422213	pseudo	1	75987049	75987885
100422076	LOC100422076	pseudo	1	199878037	199878975
100421842	LOC100421842	pseudo	1	228912058	228912611
100421840	LOC100421840	pseudo	1	199356268	199357596
100421536	LOC100421536	pseudo	1	76107028	76107971
100421471	LOC100421471	pseudo	1	182703363	182703885
100421468	LOC100421468	pseudo	1	87511557	87512400
100421465	LOC100421465	pseudo	1	87510416	87511559
100421402	LOC100421402	pseudo	1	113992327	113993306
100421401	LOC100421401	pseudo	1	89703106	89768640
100421400	LOC100421400	pseudo	1	77660502	77661153
100421344	LOC100421344	pseudo	1	242546646	242548097
100421343	LOC100421343	pseudo	1	188211217	188211835
100421281	LOC100421281	pseudo	1	119255619	119256486
100421273	LOC100421273	pseudo	1	93850050	93850550
100421116	LOC100421116	pseudo	1	114896607	114897780
100420880	LOC100420880	pseudo	1	247206078	247207468
100420879	LOC100420879	pseudo	1	243053492	243054104
100420878	LOC100420878	pseudo	1	205594512	205595477
100420658	LOC100420658	pseudo	1	165910474	165911004
100420494	LOC100420494	pseudo	1	26545376	26546024
100420423	LOC100420423	pseudo	1	202407455	202408892
100420420	LOC100420420	pseudo	1	242301895	242303183
100420418	LOC100420418	pseudo	1	204175230	204176416
100420339	LOC100420339	pseudo	1	2986221	2987260
100420338	LOC100420338	pseudo	1	203774559	203775419
100420336	LOC100420336	pseudo	1	34742459	34742964
100420262	LOC100420262	pseudo	1	179275973	179276552
100420255	LOC100420255	pseudo	1	200116658	200117606
100420254	LOC100420254	pseudo	1	183678445	183679449
100420252	LOC100420252	pseudo	1	43352021	43354391
100420170	LOC100420170	pseudo	1	109051194	109052019
100420166	LOC100420166	pseudo	1	86869861	86870584
100420092	LOC100420092	pseudo	1	109645869	109647389
100419911	LOC100419911	pseudo	1	20365422	20365936
100419806	LOC100419806	pseudo	1	247178491	247180534
100419803	LOC100419803	pseudo	1	92668910	92669534
100419802	LOC100419802	pseudo	1	35975677	35976941
100419801	LOC100419801	pseudo	1	242540026	242540768
100419799	LOC100419799	pseudo	1	155619291	155620058
100419798	LOC100419798	pseudo	1	155585360	155616469
100419796	LOC100419796	pseudo	1	44616457	44617516
100419654	LOC100419654	pseudo	1	98321130	98322571
100419257	LOC100419257	pseudo	1	33452531	33453847
100418965	LOC100418965	pseudo	1	76819264	76819923
100418874	LOC100418874	pseudo	1	227421891	227423054
